date,product,feature,region,team,role,usage,sentiment,support_tickets,anomaly_flag,missing_data_flag,time_lag_flag,conflicting_signal_flag,subtle_pattern_flag
2025-09-03,Azure AI,Copilot Chat,North America,Engineering,PM,96,0.83,2,0,0,0,0,0
2025-09-03,Azure AI,Copilot Chat,Europe,Support,GPM,111,1.0,3,0,0,0,0,0
2025-09-03,Azure AI,Copilot Chat,Asia,PM,GPM,87,0.56,4,0,0,0,0,0
2025-09-03,Azure AI,Copilot Chat,LATAM,Engineering,PM,110,0.27,3,0,0,1,0,0
2025-09-03,Azure AI,Auto Insights,North America,Sales,PM,92,0.74,8,0,0,0,0,0
2025-09-03,Azure AI,Auto Insights,Europe,Engineering,PM,97,0.31,4,0,0,1,0,0
2025-09-03,Azure AI,Auto Insights,Asia,PM,GPM,108,0.91,3,0,0,0,0,0
2025-09-03,Azure AI,Auto Insights,LATAM,Engineering,GPM,80,0.89,6,0,0,0,0,0
2025-09-03,Azure AI,Predictive Alerts,North America,Sales,GPM,100,0.62,1,0,0,0,0,0
2025-09-03,Azure AI,Predictive Alerts,Europe,Sales,Director,116,0.69,3,0,0,1,0,0
2025-09-03,Azure AI,Predictive Alerts,Asia,Engineering,GPM,110,0.75,6,0,0,0,0,0
2025-09-03,Azure AI,Predictive Alerts,LATAM,Sales,Director,112,0.76,3,0,0,0,0,0
2025-09-03,Azure AI,Workflow Automation,North America,Support,GPM,100,0.75,5,0,0,0,0,0
2025-09-03,Azure AI,Workflow Automation,Europe,PM,Director,93,0.69,4,0,0,0,0,0
2025-09-03,Azure AI,Workflow Automation,Asia,Engineering,PM,107,0.98,4,0,0,0,0,0
2025-09-03,Azure AI,Workflow Automation,LATAM,Sales,PM,91,0.98,4,0,0,1,0,0
2025-09-03,Power Platform,Copilot Chat,North America,Support,Director,113,0.91,3,0,0,0,0,0
2025-09-03,Power Platform,Copilot Chat,Europe,Support,PM,95,0.81,6,0,0,0,0,0
2025-09-03,Power Platform,Copilot Chat,Asia,Sales,PM,85,1.07,5,0,0,0,0,0
2025-09-03,Power Platform,Copilot Chat,LATAM,Sales,PM,102,0.79,6,0,0,0,0,0
2025-09-03,Power Platform,Auto Insights,North America,Support,Director,100,0.51,2,0,0,1,0,0
2025-09-03,Power Platform,Auto Insights,Europe,PM,PM,96,0.9,9,0,0,0,0,0
2025-09-03,Power Platform,Auto Insights,Asia,Engineering,GPM,102,0.71,11,0,0,0,0,1
2025-09-03,Power Platform,Auto Insights,LATAM,Support,PM,95,0.47,2,0,0,0,0,0
2025-09-03,Power Platform,Predictive Alerts,North America,PM,PM,103,0.52,4,0,0,0,0,0
2025-09-03,Power Platform,Predictive Alerts,Europe,Sales,Director,104,0.63,6,0,0,0,0,0
2025-09-03,Power Platform,Predictive Alerts,Asia,Sales,Director,106,0.63,8,0,0,0,0,0
2025-09-03,Power Platform,Predictive Alerts,LATAM,PM,Director,108,0.64,1,0,0,0,0,0
2025-09-03,Power Platform,Workflow Automation,North America,Support,GPM,99,0.05,5,0,0,0,0,0
2025-09-03,Power Platform,Workflow Automation,Europe,Support,PM,112,0.5,3,0,0,0,0,0
2025-09-03,Power Platform,Workflow Automation,Asia,PM,GPM,97,1.13,5,0,0,0,0,0
2025-09-03,Power Platform,Workflow Automation,LATAM,PM,CVP,105,0.31,2,0,0,0,0,0
2025-09-03,Dynamics 365,Copilot Chat,North America,Sales,Director,106,0.77,7,0,0,1,0,0
2025-09-03,Dynamics 365,Copilot Chat,Europe,PM,Director,112,0.82,7,0,0,1,0,0
2025-09-03,Dynamics 365,Copilot Chat,Asia,Engineering,GPM,84,1.08,7,0,0,0,0,0
2025-09-03,Dynamics 365,Copilot Chat,LATAM,Engineering,Director,98,0.91,2,0,0,0,0,0
2025-09-03,Dynamics 365,Auto Insights,North America,Sales,Director,83,0.61,7,0,0,0,0,0
2025-09-03,Dynamics 365,Auto Insights,Europe,Engineering,GPM,102,0.75,3,0,0,0,0,0
2025-09-03,Dynamics 365,Auto Insights,Asia,Support,GPM,86,0.8,6,1,0,0,0,0
2025-09-03,Dynamics 365,Auto Insights,LATAM,Sales,CVP,82,1.01,8,0,0,0,0,0
2025-09-03,Dynamics 365,Predictive Alerts,North America,Sales,GPM,99,0.53,6,0,0,0,0,0
2025-09-03,Dynamics 365,Predictive Alerts,Europe,Support,GPM,105,0.58,8,0,0,0,0,0
2025-09-03,Dynamics 365,Predictive Alerts,Asia,PM,Director,103,0.68,2,0,0,1,0,0
2025-09-03,Dynamics 365,Predictive Alerts,LATAM,Sales,CVP,112,0.95,5,0,0,0,0,0
2025-09-03,Dynamics 365,Workflow Automation,North America,Support,GPM,105,0.72,6,0,0,0,0,0
2025-09-03,Dynamics 365,Workflow Automation,Europe,PM,CVP,91,1.01,1,0,0,0,0,0
2025-09-03,Dynamics 365,Workflow Automation,Asia,Engineering,PM,116,1.0,7,0,1,0,0,0
2025-09-03,Dynamics 365,Workflow Automation,LATAM,Engineering,GPM,95,0.71,2,0,0,0,0,0
2025-09-02,Azure AI,Copilot Chat,North America,PM,CVP,104,0.85,4,0,0,0,0,0
2025-09-02,Azure AI,Copilot Chat,Europe,Engineering,CVP,84,0.64,5,0,0,0,0,0
2025-09-02,Azure AI,Copilot Chat,Asia,Sales,CVP,80,0.82,4,0,0,0,0,0
2025-09-02,Azure AI,Copilot Chat,LATAM,Support,PM,73,0.85,6,0,0,0,0,0
2025-09-02,Azure AI,Auto Insights,North America,Engineering,Director,91,1.04,6,0,0,0,0,0
2025-09-02,Azure AI,Auto Insights,Europe,Support,PM,104,0.88,4,0,0,0,0,0
2025-09-02,Azure AI,Auto Insights,Asia,Support,CVP,90,0.71,7,0,0,1,0,0
2025-09-02,Azure AI,Auto Insights,LATAM,PM,CVP,102,0.53,4,0,0,0,0,0
2025-09-02,Azure AI,Predictive Alerts,North America,Engineering,Director,103,0.47,3,0,0,1,0,0
2025-09-02,Azure AI,Predictive Alerts,Europe,PM,PM,95,0.75,6,0,0,1,0,0
2025-09-02,Azure AI,Predictive Alerts,Asia,Support,GPM,86,0.72,5,0,0,0,0,0
2025-09-02,Azure AI,Predictive Alerts,LATAM,PM,Director,101,0.67,6,0,0,0,0,0
2025-09-02,Azure AI,Workflow Automation,North America,PM,PM,115,0.88,5,0,0,0,0,0
2025-09-02,Azure AI,Workflow Automation,Europe,Support,CVP,115,0.72,4,0,0,0,0,0
2025-09-02,Azure AI,Workflow Automation,Asia,Engineering,PM,95,0.65,6,0,0,0,0,0
2025-09-02,Azure AI,Workflow Automation,LATAM,Support,Director,90,0.5,6,0,0,0,0,0
2025-09-02,Power Platform,Copilot Chat,North America,PM,PM,119,0.8,8,0,1,0,0,0
2025-09-02,Power Platform,Copilot Chat,Europe,PM,PM,87,0.74,4,0,0,0,0,0
2025-09-02,Power Platform,Copilot Chat,Asia,Engineering,CVP,95,0.86,5,0,0,0,0,0
2025-09-02,Power Platform,Copilot Chat,LATAM,Engineering,GPM,98,0.71,3,0,0,1,0,0
2025-09-02,Power Platform,Auto Insights,North America,PM,CVP,88,1.21,4,0,0,0,0,0
2025-09-02,Power Platform,Auto Insights,Europe,PM,Director,102,0.71,6,0,0,1,0,0
2025-09-02,Power Platform,Auto Insights,Asia,Sales,GPM,96,0.48,1,0,0,0,0,0
2025-09-02,Power Platform,Auto Insights,LATAM,PM,Director,91,1.05,2,0,0,0,0,0
2025-09-02,Power Platform,Predictive Alerts,North America,Sales,Director,92,0.86,7,0,0,0,0,0
2025-09-02,Power Platform,Predictive Alerts,Europe,Sales,CVP,89,0.51,6,0,0,0,0,0
2025-09-02,Power Platform,Predictive Alerts,Asia,Engineering,GPM,101,0.74,7,0,0,0,0,0
2025-09-02,Power Platform,Predictive Alerts,LATAM,PM,PM,92,0.68,5,0,0,0,0,0
2025-09-02,Power Platform,Workflow Automation,North America,Support,PM,93,0.91,1,0,0,0,0,0
2025-09-02,Power Platform,Workflow Automation,Europe,PM,GPM,103,0.79,6,0,0,0,0,0
2025-09-02,Power Platform,Workflow Automation,Asia,Engineering,PM,103,0.4,8,0,0,0,0,0
2025-09-02,Power Platform,Workflow Automation,LATAM,Engineering,GPM,78,0.54,4,0,0,0,0,0
2025-09-02,Dynamics 365,Copilot Chat,North America,Engineering,PM,98,0.8,4,0,0,1,0,0
2025-09-02,Dynamics 365,Copilot Chat,Europe,Support,PM,98,0.81,9,1,0,0,0,0
2025-09-02,Dynamics 365,Copilot Chat,Asia,PM,Director,89,0.48,8,0,0,0,0,0
2025-09-02,Dynamics 365,Copilot Chat,LATAM,Sales,GPM,82,0.91,3,0,0,0,0,0
2025-09-02,Dynamics 365,Auto Insights,North America,PM,CVP,104,0.43,2,0,0,1,0,0
2025-09-02,Dynamics 365,Auto Insights,Europe,PM,CVP,96,0.82,9,0,0,0,0,0
2025-09-02,Dynamics 365,Auto Insights,Asia,Sales,GPM,94,0.69,5,0,0,1,0,0
2025-09-02,Dynamics 365,Auto Insights,LATAM,Engineering,PM,99,0.75,7,0,0,0,0,0
2025-09-02,Dynamics 365,Predictive Alerts,North America,Sales,Director,109,0.98,4,0,0,0,0,0
2025-09-02,Dynamics 365,Predictive Alerts,Europe,Sales,CVP,84,0.59,8,0,0,0,0,0
2025-09-02,Dynamics 365,Predictive Alerts,Asia,Sales,PM,107,0.6,8,0,0,0,0,0
2025-09-02,Dynamics 365,Predictive Alerts,LATAM,Engineering,PM,106,0.74,7,0,0,0,0,0
2025-09-02,Dynamics 365,Workflow Automation,North America,Sales,Director,107,0.78,1,0,0,1,0,0
2025-09-02,Dynamics 365,Workflow Automation,Europe,Engineering,GPM,104,0.78,7,0,0,0,0,0
2025-09-02,Dynamics 365,Workflow Automation,Asia,PM,GPM,120,0.66,4,0,0,1,0,0
2025-09-02,Dynamics 365,Workflow Automation,LATAM,Sales,GPM,87,0.62,1,0,0,0,0,0
2025-09-01,Azure AI,Copilot Chat,North America,Sales,GPM,105,0.41,4,0,0,0,0,0
2025-09-01,Azure AI,Copilot Chat,Europe,Support,CVP,123,0.26,7,0,0,0,1,0
2025-09-01,Azure AI,Copilot Chat,Asia,PM,PM,96,0.8,7,0,0,0,0,0
2025-09-01,Azure AI,Copilot Chat,LATAM,Sales,PM,109,0.69,3,0,0,0,0,0
2025-09-01,Azure AI,Auto Insights,North America,Engineering,PM,102,0.57,1,0,0,0,0,0
2025-09-01,Azure AI,Auto Insights,Europe,Engineering,GPM,103,0.9,5,0,1,0,0,0
2025-09-01,Azure AI,Auto Insights,Asia,PM,CVP,100,0.8,1,0,0,0,0,0
2025-09-01,Azure AI,Auto Insights,LATAM,Sales,CVP,71,1.06,5,0,0,0,0,0
2025-09-01,Azure AI,Predictive Alerts,North America,PM,CVP,106,1.06,7,0,0,0,0,0
2025-09-01,Azure AI,Predictive Alerts,Europe,Engineering,GPM,101,0.77,1,0,0,0,0,0
2025-09-01,Azure AI,Predictive Alerts,Asia,Sales,PM,95,0.82,7,0,0,0,0,0
2025-09-01,Azure AI,Predictive Alerts,LATAM,Sales,Director,92,0.93,7,0,0,0,0,0
2025-09-01,Azure AI,Workflow Automation,North America,Sales,Director,107,0.37,6,0,0,0,0,0
2025-09-01,Azure AI,Workflow Automation,Europe,Sales,CVP,100,0.59,6,1,0,0,0,0
2025-09-01,Azure AI,Workflow Automation,Asia,PM,GPM,95,0.39,2,0,0,0,0,0
2025-09-01,Azure AI,Workflow Automation,LATAM,Support,GPM,92,0.65,3,0,0,0,0,0
2025-09-01,Power Platform,Copilot Chat,North America,Engineering,PM,112,0.91,2,0,0,1,0,0
2025-09-01,Power Platform,Copilot Chat,Europe,Support,PM,74,0.75,4,0,1,1,0,0
2025-09-01,Power Platform,Copilot Chat,Asia,Engineering,CVP,104,0.9,3,0,0,0,0,0
2025-09-01,Power Platform,Copilot Chat,LATAM,PM,PM,84,0.12,10,0,0,0,0,0
2025-09-01,Power Platform,Auto Insights,North America,Engineering,GPM,105,0.48,4,1,0,0,0,0
2025-09-01,Power Platform,Auto Insights,Europe,Engineering,PM,109,1.03,10,0,0,0,0,0
2025-09-01,Power Platform,Auto Insights,Asia,PM,CVP,96,0.52,4,0,0,0,0,0
2025-09-01,Power Platform,Auto Insights,LATAM,Engineering,GPM,99,1.01,3,0,0,0,0,0
2025-09-01,Power Platform,Predictive Alerts,North America,Engineering,PM,102,0.98,4,0,0,0,0,0
2025-09-01,Power Platform,Predictive Alerts,Europe,Sales,Director,96,0.81,5,0,0,0,0,0
2025-09-01,Power Platform,Predictive Alerts,Asia,Support,GPM,93,0.67,4,0,0,1,0,0
2025-09-01,Power Platform,Predictive Alerts,LATAM,Support,GPM,99,0.67,6,0,0,0,0,0
2025-09-01,Power Platform,Workflow Automation,North America,Support,CVP,97,0.64,6,0,0,0,0,0
2025-09-01,Power Platform,Workflow Automation,Europe,PM,Director,89,0.85,3,0,0,0,0,0
2025-09-01,Power Platform,Workflow Automation,Asia,Sales,Director,92,0.68,8,0,0,0,0,0
2025-09-01,Power Platform,Workflow Automation,LATAM,Engineering,PM,93,1.22,3,0,0,0,0,0
2025-09-01,Dynamics 365,Copilot Chat,North America,Sales,PM,100,0.58,9,0,0,0,0,0
2025-09-01,Dynamics 365,Copilot Chat,Europe,Engineering,GPM,102,0.84,4,0,0,0,0,0
2025-09-01,Dynamics 365,Copilot Chat,Asia,Support,GPM,105,0.48,8,0,0,0,0,0
2025-09-01,Dynamics 365,Copilot Chat,LATAM,Support,PM,73,0.64,4,0,0,0,0,0
2025-09-01,Dynamics 365,Auto Insights,North America,PM,Director,103,0.7,6,0,0,0,0,0
2025-09-01,Dynamics 365,Auto Insights,Europe,Support,GPM,109,0.87,2,0,0,1,0,0
2025-09-01,Dynamics 365,Auto Insights,Asia,Sales,Director,104,0.69,5,0,0,0,0,0
2025-09-01,Dynamics 365,Auto Insights,LATAM,Engineering,Director,101,0.86,4,0,0,0,0,0
2025-09-01,Dynamics 365,Predictive Alerts,North America,Engineering,GPM,104,0.56,5,0,0,0,0,0
2025-09-01,Dynamics 365,Predictive Alerts,Europe,Support,PM,106,0.69,8,0,0,0,0,0
2025-09-01,Dynamics 365,Predictive Alerts,Asia,Engineering,GPM,96,0.81,2,0,0,0,0,0
2025-09-01,Dynamics 365,Predictive Alerts,LATAM,Support,Director,108,0.85,2,0,0,0,0,0
2025-09-01,Dynamics 365,Workflow Automation,North America,PM,Director,125,0.72,4,0,0,0,0,0
2025-09-01,Dynamics 365,Workflow Automation,Europe,PM,Director,96,0.51,8,0,0,1,0,0
2025-09-01,Dynamics 365,Workflow Automation,Asia,Sales,Director,99,0.85,4,0,0,0,0,0
2025-09-01,Dynamics 365,Workflow Automation,LATAM,Engineering,PM,75,0.76,2,0,0,0,0,0
2025-08-31,Azure AI,Copilot Chat,North America,Sales,Director,96,0.94,3,0,0,0,0,0
2025-08-31,Azure AI,Copilot Chat,Europe,Engineering,PM,129,0.57,4,0,0,0,0,0
2025-08-31,Azure AI,Copilot Chat,Asia,Support,GPM,101,0.99,6,0,0,0,0,0
2025-08-31,Azure AI,Copilot Chat,LATAM,Support,GPM,103,1.06,2,0,0,0,0,0
2025-08-31,Azure AI,Auto Insights,North America,Sales,CVP,110,0.87,9,0,0,0,0,0
2025-08-31,Azure AI,Auto Insights,Europe,Engineering,PM,110,0.54,8,0,0,0,0,0
2025-08-31,Azure AI,Auto Insights,Asia,Engineering,GPM,88,0.66,6,0,0,0,0,0
2025-08-31,Azure AI,Auto Insights,LATAM,Engineering,Director,108,0.53,5,0,0,1,0,0
2025-08-31,Azure AI,Predictive Alerts,North America,PM,CVP,96,0.82,4,0,0,0,0,0
2025-08-31,Azure AI,Predictive Alerts,Europe,PM,PM,84,0.77,4,0,0,0,0,0
2025-08-31,Azure AI,Predictive Alerts,Asia,Support,Director,110,0.7,1,0,0,0,0,0
2025-08-31,Azure AI,Predictive Alerts,LATAM,Engineering,Director,109,0.96,4,0,0,0,0,0
2025-08-31,Azure AI,Workflow Automation,North America,PM,GPM,104,0.94,5,0,0,0,0,0
2025-08-31,Azure AI,Workflow Automation,Europe,Engineering,Director,66,0.82,6,0,0,0,0,0
2025-08-31,Azure AI,Workflow Automation,Asia,Sales,GPM,110,0.48,6,0,0,0,0,0
2025-08-31,Azure AI,Workflow Automation,LATAM,PM,GPM,81,0.69,4,0,0,0,0,0
2025-08-31,Power Platform,Copilot Chat,North America,PM,CVP,109,0.59,3,0,0,0,0,0
2025-08-31,Power Platform,Copilot Chat,Europe,Engineering,GPM,120,0.7,6,0,0,1,0,0
2025-08-31,Power Platform,Copilot Chat,Asia,Support,CVP,103,0.55,6,0,0,0,0,0
2025-08-31,Power Platform,Copilot Chat,LATAM,PM,Director,99,0.54,7,0,0,0,0,0
2025-08-31,Power Platform,Auto Insights,North America,PM,PM,99,0.57,4,0,0,0,0,0
2025-08-31,Power Platform,Auto Insights,Europe,Sales,PM,113,0.82,4,0,0,0,0,0
2025-08-31,Power Platform,Auto Insights,Asia,Sales,GPM,100,0.91,7,0,0,0,0,0
2025-08-31,Power Platform,Auto Insights,LATAM,PM,CVP,117,0.8,6,1,0,0,0,0
2025-08-31,Power Platform,Predictive Alerts,North America,Support,Director,90,0.51,7,1,0,0,0,0
2025-08-31,Power Platform,Predictive Alerts,Europe,PM,GPM,89,0.78,2,0,0,0,0,0
2025-08-31,Power Platform,Predictive Alerts,Asia,Engineering,GPM,114,0.54,8,0,0,0,0,0
2025-08-31,Power Platform,Predictive Alerts,LATAM,Sales,Director,89,0.82,3,0,0,0,0,0
2025-08-31,Power Platform,Workflow Automation,North America,Support,PM,104,0.9,6,0,0,0,0,0
2025-08-31,Power Platform,Workflow Automation,Europe,Support,Director,91,0.61,5,0,0,0,0,0
2025-08-31,Power Platform,Workflow Automation,Asia,Sales,Director,108,0.46,6,0,0,1,0,0
2025-08-31,Power Platform,Workflow Automation,LATAM,Engineering,PM,86,0.87,5,0,0,0,0,0
2025-08-31,Dynamics 365,Copilot Chat,North America,Support,GPM,107,0.59,4,0,0,0,0,0
2025-08-31,Dynamics 365,Copilot Chat,Europe,Support,PM,94,0.86,3,0,0,0,0,0
2025-08-31,Dynamics 365,Copilot Chat,Asia,Engineering,CVP,103,0.85,5,0,0,0,0,0
2025-08-31,Dynamics 365,Copilot Chat,LATAM,Support,Director,105,0.57,8,0,0,0,0,0
2025-08-31,Dynamics 365,Auto Insights,North America,Sales,PM,103,0.72,6,0,0,0,0,0
